Subpopulation 1,Subpopulation 2,Subpopulation 3
500.0,500.0,500.0
499.2987648816228,502.98176961581686,497.7194655025606
498.63886079950197,505.7070982271335,495.65404097336466
498.01842375202483,508.1978243553649,493.7837518926105
497.43560076554206,510.47393771587514,492.09046151858297
496.88856229312637,512.5537510478624,490.55768665901155
496.3755122224666,514.4540335547788,489.1704542227548
495.8946943632482,516.1901155343002,487.9151901024519
495.4444017326874,517.7760519411861,486.7795463261268
495.0229805385405,519.224715144984,485.7523043164757
494.628830550341,520.5478574057773,484.82331204388186
494.26041256555754,521.756253660813,483.98333377362974
493.91624771440473,522.859757366149,483.22399491944645
493.5949189282237,523.8673846846566,482.5376963871198
493.29507153206066,524.7873846869735,481.91754378096607
493.01541310813246,525.6273038130179,481.3572830788499
492.7547127939377,526.394044311271,480.8512428947915
492.5118005845516,527.0939209430577,480.3942784723909
492.285565977769,527.7327090684707,479.98172495376053
492.0749560477785,528.3156864094624,479.60935754275937
491.8789746558299,528.847682595913,479.27334274825745
491.6966800001958,529.3331119026194,478.97020809718515
491.52718305336344,529.7760112564753,478.6968056901616
491.36964528646456,530.1800705098173,478.4502842037185
491.2232766229655,530.5486622290642,478.2280611479705
491.0873335339155,530.8848692738261,478.0277971922587
490.9611168927357,531.1915090673896,477.847374039875
490.84396985675505,531.4711563665502,477.68487377669493
490.7352758807695,531.7261642311817,477.53855988804906
490.6344566401345,531.9586824455763,477.4068609142894
490.5409699142393,532.170673352987,477.2883567327738
490.45430811164783,532.363932162744,477.1817597256083
490.3739960671005,532.5400975825754,477.0859063503242
490.29958926635607,532.7006655210449,476.9997452125992
490.2306723187977,532.8470043488276,476.92232333237496
490.1668570524898,532.9803616641398,476.8527812833706
490.1077810441856,533.1018775800035,476.7903413758112
490.05310606809337,533.2125933691901,476.73430056271667
490.00251658773516,533.3134583158926,476.68402509637247
489.95571851116847,533.4053405995023,476.6389408893294
489.91243779856313,533.4890319136605,476.59853028777667
489.8724192057832,533.5652546105962,476.5623261836209
489.8354250764165,533.6346688547449,476.52990606883884
489.8012342674955,533.6978760553876,476.500889677117
489.7696410546649,533.755425602702,476.47493334263316
489.7404541443487,533.8078187760636,476.4517270795877
489.7134957428763,533.8555123185249,476.4309919385988
489.68860063683235,533.8989236660819,476.41247569708577
489.6656154045852,533.9384331011815,476.3959514942334
489.6443975910842,533.9743874676341,476.38121494128177
489.6248149363023,534.0071034417576,476.3680816219402
489.60674475213125,534.0368692991476,476.3563859487213
489.5900732100307,534.0639482741875,476.3459785157819
489.5746947660379,534.0885802860397,476.3367249479225
489.5605115967791,534.1109838353523,476.32850456786866
489.54743300572994,534.1313584670078,476.32120852726246
489.53537499666953,534.1498857724634,476.31473923086725
489.5242597563627,534.1667313310079,476.30900891262957
489.5140152119973,534.1820461539598,476.3039386340431
489.50457466834746,534.1959676170945,476.29945771455823
489.49587637121454,534.2086211029824,476.29550252580333
489.487863193612,534.2201207528444,476.2920160535439
489.4804822977136,534.2305704768189,476.28894722546767
489.4736847912108,534.2400650716598,476.28625013712957
489.46742548497474,534.2486907486702,476.2838837663551
489.4616625845326,534.2565261421589,476.2818112733086
489.45635746747126,534.2636428178894,476.27999971463953
489.451474482637,534.2701056868676,476.27841983049547
489.44698068553276,534.275973983446,476.2770453310214
489.44284561776766,534.2813017785292,476.2758526037033
489.4390410964395,534.2861383877105,476.2748205158502
489.43554118141105,534.290528460488,476.2739303581012
489.4323219571255,534.2945125483674,476.27316549450734
489.4293612129339,534.2981279721091,476.2725108149571
489.42663854081576,534.3014084054589,476.27195305372544
489.42413518422006,534.3043842355484,476.27148058023164
489.4218337012626,534.3070835121612,476.27108278657636
489.4197180633347,534.3095315961896,476.2707503404758
489.4177735630735,534.3117513618212,476.2704750751053
489.41598652269283,534.3137639423276,476.2702495349796
489.41434437041835,534.3155884518663,476.27006717771536
489.41283559296073,534.3172420539026,476.26992235313674
489.41144948286285,534.3187406212013,476.26980989593585
489.4101762131758,534.3200984804344,476.2697253063899
489.4090068020325,534.3213284617003,476.26966473626726
489.40793286303983,534.322442512334,476.26962462462626
489.40694660300113,534.323451661419,476.26960173557995
489.40604102253354,534.3243654934006,476.26959348406587
489.40520966144834,534.3251927476639,476.2695975908878
489.40444648711144,534.3259415644756,476.26961194841306
489.40374593168104,534.3266193717504,476.2696346965685
489.40310299886687,534.3272326237388,476.2696643773943
489.40251301573846,534.3277873482784,476.26969963598316
489.4019716364246,534.3282891202481,476.26973924332736
489.4014749019281,534.3287429197128,476.26978217835926
489.4010192262074,534.3291531497869,476.2698276240059
489.4006012436043,534.3295239525539,476.2698748038419
489.40021783122535,534.3298591484646,476.2699230203102
489.3998661937665,534.3301620350827,476.2699717711509
489.39954374841767,534.3304356269743,476.27002062460815
489.3992480856991,534.3306827280448,476.27006918625614
489.39897694865726,534.3309059505282,476.2701171008147
489.3987284607593,534.3311073335609,476.27016420568
489.3985006651026,534.3312891066815,476.270210228216
489.3982918581048,534.3314531443523,476.27025499754296
489.3981004897955,534.3316011116084,476.27029839859614
489.39792514262194,534.3317345040338,476.2703403533444
489.39776447310993,534.3318547577963,476.2703807690938
489.3976172450707,534.3319631870163,476.270419567913
489.39748232885154,534.3320609827866,476.2704566883619
489.39735867995824,534.3321491852333,476.2704921348085
489.397245359007,534.3322287095918,476.2705259314012
489.39714153694365,534.3323003530285,476.270558110028
489.397046488632,534.3323647862604,476.27058872510764
489.39695956613787,534.3324225906618,476.27061784320034
489.39687998012437,534.3324745618802,476.2706454579955
489.3968070870624,534.3325213109339,476.27067160200374
489.3967403503091,534.33256331827,476.27069633142094
489.39667930340806,534.3326009847358,476.2707197118562
489.39662350835107,534.3326346872359,476.27074180441315
489.39657243018576,534.3326649459401,476.27076262387413
489.39652566049375,534.3326921262806,476.2707822132257
489.39648284857793,534.3327165307117,476.2708006207104
489.3964436901354,534.3327384138145,476.2708178960502
489.3964075462276,534.3327583812064,476.27083407256623
489.39637499299164,534.332775749698,476.27084925731054
489.3963450630049,534.3327914706529,476.2708634663424
489.39631762111475,534.3328056164304,476.270876762455
489.3962925321267,534.3328182594507,476.2708892084226
489.3962696152209,534.3328295381355,476.27090084664366
489.3962486766966,534.3328396095394,476.270911713764
489.39622955463676,534.3328485847393,476.27092186062396
489.39621208712435,534.332856574812,476.27093133806375
489.39619611224225,534.3328636908342,476.2709401969236
489.39618147390297,534.3328700404455,476.27094848565156
489.39616810946364,534.3328756761873,476.2709562143491
489.396155924406,534.3328806693958,476.27096340619823
489.3961447981738,534.33288510676,476.27097009506616
489.3961346102109,534.3328890749691,476.27097631481996
489.396125239961,534.3328926607121,476.2709820993269
489.3961165950327,534.3328959258721,476.2709874790952
489.3961087003479,534.3328988290092,476.27099247064297
489.3961015022165,534.3329013979204,476.27099709986317
489.396094934178,534.3329036716503,476.2710013941717
489.3960889297721,534.3329056892435,476.27100538098443
489.3960834225382,534.3329074897445,476.27100908771735
489.3960775835472,534.3329094976835,476.27101291876943
489.396073388438,534.3329106917759,476.2710159197862
489.39606945078305,534.332911783268,476.27101876594907
489.3960657705822,534.3329127721598,476.27102145725814
489.39606234783554,534.3329136584513,476.2710239937133
489.39605918228125,534.3329144423163,476.2710263754025
489.39605625602695,534.3329151356385,476.27102860833475
489.39605355819185,534.3329157456442,476.27103069616413
489.39605108877583,534.3329162723336,476.27103263889074
489.39604884777907,534.3329167157066,476.2710344365145
489.3960468352014,534.3329170757632,476.27103608903553
489.3960450505611,534.3329173527408,476.27103759669836
489.39604343467965,534.3329175757626,476.2710389895579
489.3960419466242,534.3329177649736,476.27104028840245
489.3960405863948,534.3329179203733,476.271041493232
489.39603935399145,534.3329180419621,476.2710426040466
489.3960382494141,534.3329181297398,476.2710436208462
489.3960372725425,534.3329181837566,476.27104454370107
489.39603638786633,534.3329182188064,476.2710453933275
489.396035567344,534.3329182465716,476.27104618608456
489.3960348109755,534.3329182670523,476.27104692197236
489.3960341187609,534.3329182802484,476.27104760099087
489.3960334907002,534.33291828616,476.2710482231401
489.39603292678447,534.3329182847887,476.2710487884271
489.39603241242634,534.3329182790505,476.27104930852335
489.3960319344078,534.3329182715878,476.2710497940046
489.3960314927288,534.3329182624004,476.271050244871
489.3960310873894,534.3329182514884,476.2710506611224
489.39603071838957,534.3329182388518,476.2710510427588
489.3960303857293,534.3329182244906,476.2710513897803
489.3960300864644,534.3329182086349,476.2710517049009
489.3960298089764,534.3329181921928,476.271051998831
489.39602955207585,534.3329181752573,476.2710522726669
489.3960293157629,534.3329181578287,476.2710525264086
489.3960291000375,534.3329181399065,476.27105276005614
489.39602890489965,534.332918121491,476.2710529736094
489.39602873017276,534.3329181025969,476.2710531672305
489.396028569908,534.3329180837158,476.27105334637633
489.39602842119865,534.3329180650883,476.2710535137133
489.3960282840446,534.3329180467142,476.2710536692413
489.3960281584459,534.3329180285938,476.27105381296053
489.3960280444026,534.3329180107268,476.2710539448708
489.39602794191467,534.3329179931133,476.27105406497225
489.39602784941854,534.3329179758709,476.27105417471074
489.39602776350955,534.3329179592558,476.27105427723484
489.39602768406905,534.3329179432768,476.27105437265425
489.3960276110971,534.3329179279341,476.271054460969
489.3960275445936,534.3329179132274,476.2710545421791
489.39602748455866,534.332917899157,476.2710546162846
489.39602743058333,534.332917885718,476.27105468369894
489.3960273806391,534.3329178728867,476.2710547464743
489.39602733445014,534.3329178606602,476.2710548048898
489.3960272920163,534.3329178490385,476.2710548589454
489.3960272533377,534.3329178380213,476.2710549086411
489.3960272184143,534.332917827609,476.27105495397694
489.3960271871671,534.3329178177945,476.2710549950386
489.3960271584494,534.3329178084806,476.2710550330701
489.3960271318839,534.3329177996352,476.27105506848096
489.39602710747073,534.3329177912583,476.27105510127103
489.3960270852098,534.33291778335,476.27105513144033
489.3960270651012,534.3329177759101,476.2710551589888
489.39602704594586,534.3329177687222,476.27105518533216
489.3960270144785,534.3329177593889,476.2710552261327
489.3960269843058,534.3329177503692,476.271055265325
489.39602695542794,534.3329177416632,476.27105530290896
489.39602692784484,534.3329177332706,476.2710553388846
489.39602690155647,534.3329177251917,476.27105537325195
489.39602687656287,534.3329177174263,476.271055406011
