Susceptible 1,Susceptible 2,Susceptible 3,Infected 1,Infected 2,Infected 3,Removed 1,Removed 2,Removed 3
500.0,500.0,500.0,100.0,100.0,100.0,0.0,0.0,0.0
493.702798390992,497.78829107315175,492.0019278884346,104.23007746069953,104.55777796008319,104.03883571201581,1.2256416933552572,1.2320608313952708,1.2225889898727373
487.3003446537282,495.05462868887616,484.1292187546146,108.56524057469423,109.26724585198332,108.16658116326927,2.501047357329309,2.52665095220645,2.4890420032989167
480.7915826698372,491.8288920041097,476.35648749032293,113.00300100137531,114.12354004547271,112.38304171579291,3.827524381776974,3.884960495727366,3.8009701955852413
474.1759780387468,488.1393228132595,468.6611918381197,117.54039002103312,119.12126324951743,116.6874099519357,5.206352380195842,5.308141480322535,5.15995022686982
467.4535571654662,484.0127367013375,461.02345931888976,122.1739401924125,124.25446403201816,121.07824720648223,6.6387768561726155,6.797301509282649,6.5675170179389415
460.6249409273858,479.4747142561041,453.4259275386165,126.89967018749066,129.51662172982586,125.55346912179654,8.126002652142173,8.353497199743963,8.02515638689486
453.6913720329974,474.5497711183986,445.85359724216335,131.71307367251333,134.900637666674,130.11033606955303,9.669187205535637,9.977727385239541,9.534297606925668
446.6547365087014,469.261510121467,438.2936945254186,136.6091123510136,140.39883230607566,134.74544833292012,11.26943369392237,11.670926206875219,11.09630595360656
439.51757883347466,463.6327551909239,430.7355413408973,141.58221371858025,146.00294882913127,139.45474653642742,12.927784112481207,13.433956151135812,12.71247528694866
432.2831105188963,457.6856677449519,423.1704327171352,146.62627390249503,151.70416332115082,144.2335175975528,14.645212349816921,15.267601115675703,14.38402073232579
424.95521147851997,451.44184512995923,415.591519504547,151.73466631254902,157.49310218103764,149.07640691478068,16.422617339213904,17.172559600748656,16.112071538644383
417.53842707333445,444.9224089803171,407.9936935311548,156.90025386317183,163.35986380112635,153.97743432469278,18.26081630521743,19.149438031746485,17.897664089239257
410.0379539082852,438.1480674364807,400.37347897483124,162.11541048615743,169.29405133165383,158.9300198385484,20.160538269221192,21.198744434056707,19.741735320765756
402.459622483534,431.13917212477753,392.7289226647623,167.372045479421,175.28480826786873,163.92701232378963,22.122417813487733,23.32088241365191,21.645116428707613
394.8098720225516,423.9157583593489,385.0594869152236,172.6616344392976,181.32086145415636,168.9607250724943,24.146989181682642,25.516145552752732,23.60852700249265
387.09571843488743,416.4975718072448,377.36594310467194,177.97525605965785,187.39057033880462,174.02297745201517,26.234680813895903,27.784712318604058,25.632569670218604
379.32471568606536,408.9040827234423,369.6502654947666,183.30363451404617,193.48198192516938,179.10514226058854,28.385810431718937,30.12664159676118,27.717725367441854
371.5049124557918,401.1544914476613,361.91552496679265,188.63718581882304,199.58288956819305,184.1981972450313,30.600580601709773,32.54186876662253,29.864349129374872
363.6448026679831,393.26772250307624,354.16578292585586,193.96606929824046,205.68089668289392,189.2927818488394,32.879074956772136,35.03020250926272,32.07266660707651
355.75327157759887,385.2624106472922,346.40598517741665,199.2802426914289,211.7634837309206,194.37925768659727,35.22125500694362,37.59132226210425,34.34277121969816
347.8395377039962,377.1568792956055,338.6418564098147,204.5695203936896,217.8180774679437,199.44777212662493,37.62695780412758,40.22477658713197,36.674622211066286
339.9130866602407,368.96910389074174,330.8797948875433,209.82363838253872,223.83212642590308,204.4883287825495,40.0958945840398,42.9299826187746,39.06804376766896
331.9836139401391,360.71669201851296,323.12676793440886,215.03231090577654,229.7931667207761,209.49084953545704,42.62764943486215,45.70622543915298,41.52272407091478
324.0609533375789,352.4168357875529,315.3902093434636,220.18529897206065,235.68889918087436,214.44524850728982,45.22167955053883,48.552659220288156,44.03821610035325
316.1550122059377,344.08627583334095,307.6779194739738,225.2724721296289,241.5072581796881,219.3414989647544,47.8773158345943,51.46830864601828,46.613938732064
308.27570305849065,335.74125723344736,299.9979677421522,230.283872634167,247.23648188915737,224.16970254892914,50.5937645403135,54.452071420824765,49.24917893251845
300.43287666109876,327.3974866925864,292.3585980757023,235.209777527371,252.86517910563015,228.92015624280415,53.37010959742577,57.50272146066352,51.94309463671839
292.636258416637,319.0700927046412,284.7681390389377,240.0407568276277,258.3823905983108,233.58341550738592,56.205315707597286,60.618912834134676,54.694718364728175
